Firmware v0.1
<timeMS>, <accelX>, <accelY>, <accelZ>, <gyroX>, <gyroY>, <gyroZ>, <magX>, <magY>, <magZ>
11160, 0.44, 0.85, -0.15, 19.82, 45.91, 5.79, -65.12, -19.65, -1.65
11169, 0.46, 0.87, -0.21, 21.83, 54.15, 6.34, -64.97, -17.70, -1.80
11178, 0.49, 0.88, -0.27, 33.05, 59.70, 2.68, -65.57, -17.55, -2.40
11188, 0.44, 0.90, -0.20, 48.48, 72.56, -4.39, -64.37, -18.90, -1.95
11197, 0.40, 0.90, -0.22, 59.94, 71.89, -8.35, -64.07, -18.90, -1.35
11206, 0.42, 0.85, -0.26, 51.77, 60.91, -6.10, -64.22, -19.50, -1.20
11215, 0.36, 0.82, -0.30, 65.30, 49.33, -7.62, -64.37, -18.30, -1.95
11224, 0.35, 0.79, -0.28, 70.24, 53.11, -8.54, -64.37, -18.30, -1.95
11234, 0.40, 0.74, -0.31, 77.13, 70.37, -10.00, -64.67, -16.65, -2.85
11243, 0.29, 0.83, -0.16, 101.04, 87.80, -22.13, -64.22, -16.65, -3.60
11371, 0.40, 0.89, -0.27, 83.66, -5.73, -10.85, -62.27, -17.85, -6.30
11381, 0.42, 0.92, -0.25, 77.99, -3.72, -2.68, -61.52, -17.10, -9.00
11390, 0.45, 0.95, -0.24, 65.49, -3.54, 4.02, -60.77, -18.60, -9.75
11401, 0.44, 0.90, -0.12, 40.79, 14.15, 26.28, -63.17, -18.00, -9.30
11410, 0.44, 0.91, -0.22, 4.39, 41.16, 31.59, -61.37, -16.95, -8.85
11421, 0.43, 0.90, -0.27, -16.04, 29.33, 31.71, -60.02, -19.65, -10.80
11431, 0.45, 0.85, -0.27, -24.09, 25.00, 32.80, -59.86, -19.20, -9.90
11441, 0.42, 0.85, -0.30, -20.79, 18.72, 31.34, -62.12, -18.75, -8.85
11451, 0.42, 0.83, -0.29, -12.93, 19.82, 31.16, -61.52, -18.30, -9.00
11460, 0.44, 0.78, -0.30, 2.80, 37.01, 33.78, -60.92, -21.01, -8.25
11471, 0.46, -0.18, -0.26, 25.49, 55.85, 32.20, -59.11, -20.26, -9.30
11480, 0.49, 1.00, -0.41, 48.78, 53.96, 2.13, -59.71, -18.60, -9.00
11491, 0.51, 1.05, -0.48, 49.57, 51.40, 2.07, -60.17, -19.20, -7.50
11500, 0.51, 0.96, -0.41, 67.68, 37.44, 7.50, -58.96, -20.86, -7.65
11535, 0.63, 0.99, -0.34, 53.11, 35.30, 3.60, -57.31, -20.56, -9.30
11544, 0.56, 0.96, -0.41, 36.71, 50.79, -4.39, -57.31, -20.56, -9.30
11553, 0.67, 0.82, 0.14, 44.70, 70.06, -14.15, -57.61, -22.51, -8.55
11561, 0.87, 1.05, 0.02, 73.66, 67.26, -15.00, -57.61, -21.31, -9.60
11570, 0.40, 0.85, -0.61, 131.46, 48.90, -14.57, -56.56, -20.56, -8.55
11579, 0.45, 0.85, -0.30, -8.41, 20.30, 12.26, -56.71, -22.66, -10.20
11588, 0.52, 0.83, -0.41, -41.89, 2.87, 30.00, -57.31, -22.81, -7.80
11597, 0.46, 0.79, -0.40, -39.15, 18.78, 38.17, -58.21, -21.91, -8.40
11605, 0.48, 0.84, -0.32, -43.17, 26.28, 30.00, -57.61, -22.51, -6.75
11614, 0.45, 0.78, -0.25, -61.59, 26.16, 33.84, -57.61, -22.51, -6.75
11623, 0.49, 0.66, -0.27, -82.68, 31.59, 30.98, -57.46, -23.71, -6.90
11632, 0.60, 0.86, -0.22, -61.10, 27.07, 15.06, -57.91, -23.71, -4.20
11641, 0.49, 0.56, -0.02, -85.55, 27.80, 16.83, -58.51, -23.71, -6.90
11650, 0.47, 0.80, -0.35, -65.18, 18.23, 9.57, -58.36, -24.61, -5.70
11698, 0.49, 0.84, -0.26, -55.91, 11.89, 4.15, -56.56, -23.26, -3.90
11707, 0.53, 0.87, -0.29, -35.18, 5.73, 5.43, -59.26, -24.46, -5.25
11716, 0.51, 0.88, -0.23, -25.00, 4.94, 7.26, -58.21, -25.21, -4.50
11724, 0.51, 0.79, -0.21, -17.32, 2.20, 13.96, -58.21, -25.21, -4.50
11733, 0.60, 1.08, -0.33, -3.11, 2.74, 20.43, -57.61, -22.81, -5.40
11742, 0.45, 0.28, -0.28, 20.85, -0.91, 17.56, -58.36, -25.36, -4.95
11751, 0.47, 0.78, -0.31, 43.72, -3.41, 12.93, -56.71, -24.46, -5.25
11759, 0.57, 0.88, -0.28, 29.39, 8.17, 10.18, -56.56, -25.36, -2.85
11768, 0.53, 0.86, -0.33, 15.98, 12.99, 10.85, -57.01, -26.11, -4.35
11777, 0.51, 0.74, -0.27, 14.09, 13.66, 12.07, -56.71, -23.71, -5.25
11786, 0.51, 0.75, -0.23, 10.49, 11.04, 6.83, -56.41, -23.71, -4.50
11795, 0.50, 0.74, -0.23, 13.54, 7.93, 3.78, -55.66, -23.71, -4.50
11803, 0.56, 0.78, -0.24, 12.74, 7.38, -0.85, -55.66, -25.51, -4.80
11812, 0.53, 0.83, -0.18, 16.83, 4.21, -3.23, -55.96, -25.96, -4.80
11847, 0.55, 0.86, -0.23, 19.33, -2.26, -2.32, -54.76, -26.11, -4.65
11855, 0.54, 0.86, -0.26, 24.15, -5.24, 0.85, -56.56, -25.06, -5.70
11864, 0.55, 0.83, -0.30, 26.59, -7.32, 4.57, -56.56, -25.06, -5.70
11873, 0.58, 0.87, -0.35, 18.60, -2.93, 4.15, -57.01, -24.31, -7.50
11882, 0.69, 0.80, -0.33, 22.01, 0.91, 10.37, -55.36, -27.01, -6.90
11890, 0.59, 0.82, -0.36, 16.34, 14.27, 8.23, -54.76, -25.36, -8.55
11899, 0.59, 0.87, -0.23, 24.02, 17.62, 10.49, -55.36, -25.96, -7.95
11908, 0.53, 0.66, -0.30, 47.26, 10.61, 23.05, -52.81, -26.26, -7.65
11917, 0.54, 0.80, -0.16, 48.35, 18.11, 11.71, -54.46, -26.11, -7.20
11926, 0.53, 0.76, -0.09, 52.80, 14.21, 7.93, -54.01, -26.56, -6.75
11935, 0.51, 0.76, -0.21, 52.20, 3.23, 7.50, -55.66, -26.56, -6.75
11943, 0.50, 0.77, -0.20, 28.17, 2.26, 4.27, -55.66, -25.51, -6.90
11952, 0.50, 0.71, -0.26, 22.07, 0.37, 5.00, -56.56, -25.36, -6.00
11961, 0.50, 0.75, -0.25, 26.10, -2.62, 2.68, -55.36, -26.71, -7.65
11995, 0.53, 0.79, -0.32, 26.04, -5.24, 3.41, -53.26, -25.81, -7.20
12004, 0.53, 0.86, -0.36, 7.20, -5.06, -0.73, -53.26, -25.81, -7.20
12013, 0.66, 0.85, -0.36, 9.39, 0.91, 1.10, -54.61, -25.51, -7.35
12021, 0.62, 0.78, -0.37, 25.37, 3.23, 2.68, -53.71, -27.16, -6.75
12030, 0.58, 0.86, -0.31, 40.30, 9.51, 6.59, -53.86, -25.51, -7.95
12039, 0.58, 0.84, -0.29, 13.05, 10.73, 6.04, -54.76, -25.36, -7.20
12048, 0.55, 0.82, -0.32, -10.12, 11.34, 5.24, -55.36, -26.26, -7.35
12057, 0.54, 0.79, -0.30, -17.87, 10.00, 3.05, -54.76, -25.81, -7.20
12065, 0.53, 0.80, -0.30, -13.60, 7.87, 1.34, -55.51, -25.81, -6.45
12074, 0.52, 0.77, -0.32, -6.10, 3.60, 1.22, -55.51, -25.81, -6.45
12083, 0.53, 0.78, -0.35, -0.61, 0.67, 0.06, -54.91, -25.96, -7.65
12091, 0.52, 0.75, -0.37, 9.82, 0.12, -1.83, -54.76, -26.11, -7.80
12100, 0.54, 0.77, -0.37, 20.67, 2.80, -5.06, -55.81, -26.86, -7.80
12109, 0.58, 0.81, -0.38, 23.90, 4.82, -6.89, -54.01, -26.56, -6.75
12143, 0.58, 0.82, -0.37, 26.89, 1.59, -4.39, -53.11, -26.26, -6.60
12152, 0.58, 0.80, -0.37, 26.77, -0.24, -2.50, -52.06, -25.21, -8.70
12161, 0.56, 0.78, -0.31, 21.34, 1.71, -0.49, -54.46, -25.06, -7.20
12169, 0.56, 0.77, -0.28, 11.04, 3.23, 0.00, -54.16, -26.26, -7.95
12178, 0.54, 0.79, -0.27, 2.87, 2.56, 0.12, -52.96, -25.36, -8.85
12186, 0.53, 0.78, -0.29, -2.87, 0.06, 0.79, -54.61, -27.46, -8.40
12195, 0.56, 0.77, -0.33, -4.70, -1.28, 1.46, -54.91, -26.26, -8.70
12204, 0.56, 0.78, -0.36, -2.93, -0.91, 1.59, -54.91, -26.26, -8.70
12212, 0.55, 0.79, -0.46, 1.46, -1.65, 1.59, -54.46, -25.81, -8.55
12221, 0.57, 0.79, -0.40, 1.04, 2.20, -0.24, -54.01, -26.11, -8.55
12230, 0.59, 0.79, -0.39, 1.16, 6.16, -2.74, -54.61, -26.26, -7.65
12238, 0.58, 0.82, -0.35, 10.06, 5.24, -2.07, -54.16, -24.16, -9.45
12247, 0.54, 0.39, -0.53, 18.29, 2.07, 1.77, -53.11, -27.01, -7.65
12256, 0.54, 0.77, -0.31, 14.63, 4.33, 0.91, -51.91, -27.61, -7.50
12301, 0.54, 0.76, -0.32, 15.98, 7.13, 0.37, -54.16, -25.51, -8.70
12310, 0.54, 0.76, -0.30, 18.35, 6.83, 0.00, -52.96, -26.86, -8.55
12318, 0.55, 0.78, -0.31, 16.22, 4.76, 0.91, -53.41, -26.71, -8.40
12327, 0.56, 0.78, -0.33, 13.72, 3.48, 1.77, -53.26, -24.61, -7.80
12336, 0.56, 0.77, -0.36, 12.62, 3.54, 2.20, -52.96, -26.56, -8.25
12344, 0.56, 0.77, -0.31, 14.33, 4.39, 3.72, -52.96, -26.56, -8.25
12353, 0.58, 0.81, -0.36, 1.59, 5.37, 3.90, -54.76, -25.81, -7.80
12362, 0.63, 0.85, -0.36, -11.77, 7.44, 3.23, -53.26, -26.56, -6.45
12370, 0.57, 0.79, -0.40, -11.83, 8.78, 5.79, -52.96, -25.81, -6.45
12379, 0.57, 0.77, -0.37, -8.84, 7.74, 6.04, -53.71, -25.06, -7.50
12388, 0.58, 0.77, -0.36, -9.82, 6.65, 4.57, -53.11, -26.26, -5.85
12396, 0.56, 0.75, -0.33, -5.98, 7.99, 3.90, -53.71, -26.86, -7.50
12405, 0.57, 0.78, -0.32, 1.34, 6.95, 2.38, -52.96, -26.56, -7.80
12414, 0.57, 0.79, -0.31, 2.80, 7.38, 2.50, -52.96, -26.56, -7.80
12422, 0.59, 0.79, -0.30, 0.18, 6.71, 1.52, -53.26, -26.11, -7.50
12457, 0.57, 0.77, -0.30, 2.20, 4.76, 1.16, -52.06, -25.21, -6.90
12465, 0.55, 0.76, -0.30, 4.82, 4.88, 0.67, -51.61, -25.96, -7.95
12474, 0.57, 0.47, -0.22, -7.50, 10.30, 4.70, -51.61, -25.96, -7.95
12483, 0.52, 0.71, -0.32, 2.99, 8.72, 2.20, -52.51, -26.86, -6.75
12491, 0.55, 0.86, -0.36, 10.73, 8.17, 1.04, -52.81, -28.21, -6.30
12500, 0.57, 0.75, -0.33, 5.79, 6.46, 1.46, -53.41, -27.46, -7.95
12509, 0.59, 0.82, -0.36, 2.32, 4.09, 0.55, -52.81, -27.01, -8.40
12517, 0.58, 0.79, -0.38, 0.55, 3.35, 0.24, -53.41, -25.21, -7.65
12526, 0.58, 0.77, -0.40, 1.65, 2.87, 0.30, -54.01, -27.61, -6.75
12534, 0.57, 0.77, -0.37, 5.91, 2.74, 1.83, -52.36, -25.51, -6.90
12543, 0.57, 0.78, -0.32, 2.20, 5.37, 2.32, -52.36, -25.51, -6.90
12552, 0.56, 0.77, -0.30, -2.80, 7.07, 3.05, -52.36, -26.71, -7.95
12560, 0.55, 0.75, -0.29, -8.84, 5.98, 3.35, -52.06, -27.46, -7.35
12569, 0.57, 0.53, -0.23, -14.39, 5.30, 4.70, -54.61, -25.96, -7.65
12578, 0.59, 0.74, -0.31, -1.46, 3.29, 2.80, -52.51, -26.86, -7.50
12612, 0.57, 0.56, -0.20, 4.70, 3.23, 1.59, -52.96, -25.81, -7.50
12620, 0.65, 0.79, -0.36, 9.39, 1.59, -1.65, -52.06, -25.96, -6.90
12629, 0.58, 0.79, -0.35, 16.83, 1.59, -2.68, -53.41, -24.46, -6.30
12638, 0.57, 0.77, -0.35, 21.83, 1.10, -3.84, -53.11, -26.71, -8.40
12646, 0.56, 0.77, -0.35, 20.43, 0.37, -4.09, -53.41, -25.21, -8.40
12655, 0.57, 0.78, -0.34, 13.72, 0.49, -2.50, -53.11, -27.01, -8.40
12664, 0.57, 0.78, -0.33, 6.95, 0.37, -0.49, -53.11, -27.01, -8.40
12672, 0.58, 0.78, -0.34, 3.96, -0.24, 0.79, -51.46, -26.56, -8.55
12681, 0.58, 0.79, -0.33, 3.23, 0.55, 2.13, -52.36, -26.71, -9.45
12690, 0.58, 0.77, -0.32, -1.65, 2.62, 3.35, -54.01, -26.11, -7.80
12698, 0.58, 0.75, -0.35, -5.30, 4.33, 2.68, -52.81, -26.71, -9.00
12707, 0.56, 0.75, -0.36, -1.10, 4.33, 2.01, -52.36, -26.71, -8.40
12716, 0.57, 0.74, -0.36, 6.46, 2.26, 1.65, -53.86, -26.71, -9.45
12724, 0.58, 0.75, -0.36, 14.76, 1.34, 0.37, -52.06, -26.71, -8.40
12733, 0.58, 0.77, -0.35, 16.65, 0.98, -0.73, -52.06, -26.71, -8.40
12767, 0.57, 0.77, -0.34, 12.99, -0.73, 0.00, -51.46, -26.86, -8.55
12776, 0.57, 0.77, -0.34, 12.01, -2.62, 0.24, -53.26, -27.16, -8.55
12784, 0.57, 0.77, -0.35, 12.20, -3.90, 0.06, -53.41, -27.46, -6.30
12793, 0.57, 0.76, -0.33, 9.21, -3.29, 0.24, -53.41, -27.46, -6.30
12802, 0.56, 0.77, -0.33, 6.65, -3.17, 0.67, -54.16, -25.96, -7.95
12810, 0.57, 0.76, -0.35, 3.17, -3.48, 0.67, -51.61, -25.96, -8.70
12819, 0.58, 0.76, -0.37, 0.12, -1.65, 0.37, -52.21, -26.56, -7.80
12828, 0.58, 0.78, -0.36, 1.71, 0.98, -0.24, -53.41, -26.26, -10.50
12836, 0.58, 0.77, -0.36, 1.77, 2.01, 0.67, -53.86, -26.71, -7.95
12845, 0.57, 0.75, -0.37, -0.18, 1.28, 1.52, -51.61, -27.76, -7.65
12854, 0.57, 0.76, -0.38, 0.24, 0.67, 1.22, -51.61, -27.76, -7.65
12862, 0.59, 0.77, -0.35, -1.04, 1.10, 0.67, -53.41, -28.81, -6.90
12871, 0.57, 0.76, -0.36, -2.07, 0.73, 1.10, -53.11, -27.46, -8.40
12880, 0.57, 0.76, -0.36, -1.10, 0.98, 0.73, -50.86, -27.46, -8.70
12888, 0.58, 0.77, -0.37, 0.85, 0.79, -0.12, -52.51, -27.91, -9.60
12954, 0.58, 0.77, -0.35, -1.59, 0.43, 0.91, -50.71, -27.61, -7.80
12962, 0.58, 0.75, -0.34, -2.07, 0.61, 0.91, -52.36, -28.21, -7.35
12971, 0.57, 0.74, -0.35, -1.89, 0.67, 0.00, -52.21, -26.86, -7.50
12980, 0.58, 0.74, -0.37, 1.16, -0.61, -1.40, -52.51, -27.61, -7.50
12988, 0.58, 0.74, -0.36, 5.67, 0.43, -2.56, -52.51, -27.91, -7.50
12997, 0.58, 0.76, -0.35, 8.05, 3.66, -3.60, -52.21, -27.61, -8.85
13005, 0.57, 0.78, -0.35, 10.91, 2.99, -3.48, -52.81, -25.21, -7.35
13014, 0.59, 0.76, -0.36, 12.62, 2.01, -2.44, -51.46, -28.36, -7.80
13023, 0.59, 0.77, -0.37, 9.39, 1.16, -0.37, -51.46, -28.36, -7.80
13032, 0.59, 0.77, -0.35, 4.33, 0.79, 0.43, -52.81, -27.01, -8.70
13040, 0.56, 0.76, -0.36, 2.44, 1.34, 0.67, -53.41, -26.71, -5.85
13049, 0.57, 0.75, -0.35, -1.52, 1.77, 0.24, -51.91, -26.56, -6.75
13057, 0.56, 0.75, -0.35, -2.20, 1.28, 0.37, -51.31, -27.01, -9.75
13066, 0.57, 0.76, -0.35, -1.28, 1.65, 0.24, -52.06, -26.71, -6.90
13075, 0.56, 0.78, -0.36, -1.95, 0.91, 0.37, -52.51, -26.11, -7.80
13109, 0.57, 0.77, -0.35, -7.87, 1.10, 0.30, -52.36, -26.26, -6.90
13118, 0.56, 0.75, -0.36, -7.80, 1.65, -0.37, -54.16, -26.71, -7.65
13126, 0.57, 0.76, -0.36, -4.63, 1.83, 0.12, -51.46, -26.86, -7.20
13135, 0.56, 0.75, -0.34, -6.77, 3.84, 0.43, -52.21, -27.91, -8.85
13144, 0.57, 0.76, -0.36, -7.38, 5.18, -0.37, -52.21, -27.91, -8.85
13152, 0.58, 0.78, -0.37, -4.39, 5.61, -1.04, -54.91, -27.76, -6.90
13161, 0.58, 0.78, -0.37, -0.18, 5.37, -0.43, -53.11, -28.21, -8.40
13170, 0.58, 0.77, -0.36, 1.71, 4.94, -0.55, -53.11, -27.46, -7.95
13178, 0.57, 0.77, -0.32, 3.05, 4.57, -0.79, -52.36, -26.26, -8.40
13187, 0.40, 0.72, -0.30, -1.59, 3.41, -1.10, -52.51, -27.16, -7.80
13195, 0.59, 0.77, -0.35, -6.04, 1.71, -2.38, -52.81, -26.26, -6.30
13204, 0.57, 0.77, -0.33, -4.02, 1.28, -0.43, -53.41, -25.96, -7.65
13213, 0.58, 0.77, -0.33, -7.87, -0.49, 0.24, -53.41, -25.96, -7.65
13221, 0.60, 0.77, -0.36, -11.59, -0.73, -0.30, -51.46, -27.16, -7.80
13256, 0.57, 0.76, -0.35, -10.61, -0.49, -0.91, -52.51, -27.61, -5.40
13265, 0.61, 0.72, -0.34, -10.49, 0.37, -0.37, -52.96, -26.11, -7.80
13273, 0.59, 0.78, -0.35, -12.99, 1.16, -1.04, -52.96, -26.11, -7.80
13282, 0.60, 0.79, -0.36, -12.07, 1.10, -1.46, -52.51, -27.16, -6.45
13291, 0.59, 0.76, -0.37, -3.35, 1.34, -0.30, -51.91, -27.61, -7.80
13299, 0.61, 0.73, -0.36, 3.23, 1.59, -0.43, -52.21, -27.16, -9.60
13308, 0.59, 0.77, -0.34, 9.70, 0.67, -0.12, -53.11, -28.21, -6.90
13317, 0.57, 0.77, -0.32, 14.21, -0.37, 1.77, -54.16, -26.26, -6.90
13325, 0.57, 0.76, -0.30, 9.09, -0.49, 2.01, -53.71, -27.91, -6.75
13334, 0.57, 0.76, -0.30, 3.35, -0.12, 2.26, -52.96, -26.56, -6.75
13343, 0.57, 0.76, -0.32, -3.29, -0.18, 2.38, -52.96, -26.56, -6.75
13351, 0.58, 0.78, -0.33, -6.28, 0.06, 0.73, -52.51, -27.61, -8.25
13360, 0.58, 0.78, -0.34, -8.84, 0.24, 0.00, -52.36, -27.01, -6.30
13369, 0.58, 0.77, -0.35, -11.83, 1.28, -0.79, -53.71, -26.86, -6.45
13399, 0.58, 0.76, -0.36, -10.91, 2.80, -1.77, -52.21, -26.86, -8.85
13408, 0.57, 0.75, -0.34, -5.18, 2.62, -2.13, -52.51, -26.56, -7.50
13416, 0.57, 0.75, -0.35, -3.66, 1.77, -2.13, -52.36, -27.46, -7.95
13425, 0.58, 0.77, -0.36, -3.90, 1.28, -1.83, -52.51, -27.61, -7.80
13434, 0.56, 0.77, -0.33, -0.73, 1.28, -0.85, -52.51, -27.61, -7.80
13442, 0.57, 0.76, -0.33, -0.73, 1.04, 0.00, -54.01, -26.11, -6.00
13451, 0.57, 0.77, -0.33, 0.73, 0.67, 0.18, -54.01, -26.86, -9.30
13460, 0.56, 0.76, -0.33, 2.20, -0.67, 0.49, -52.36, -27.01, -7.35
13468, 0.59, 0.77, -0.33, -1.95, -1.04, 0.24, -52.81, -27.01, -5.85
13477, 0.58, 0.79, -0.33, -2.68, 0.00, -0.98, -52.06, -27.76, -6.90
13485, 0.58, 0.78, -0.34, -2.56, 0.91, -1.40, -53.86, -25.21, -7.65
13494, 0.58, 0.77, -0.33, -0.73, 1.28, -2.20, -53.71, -26.56, -8.55
13503, 0.58, 0.78, -0.33, -1.77, 2.38, -2.44, -53.71, -26.56, -8.55
13511, 0.58, 0.77, -0.34, -6.10, 3.17, -2.07, -53.11, -27.01, -7.35
13546, 0.58, 0.78, -0.35, -7.20, 2.74, -1.34, -51.61, -26.71, -5.55
13555, 0.57, 0.77, -0.33, -5.24, 2.44, -0.61, -53.86, -25.96, -5.55
13564, 0.58, 0.77, -0.33, -5.49, 2.62, -0.49, -54.61, -28.81, -6.90
13573, 0.57, 0.76, -0.35, -1.95, 2.62, -0.30, -54.61, -28.81, -6.90
13582, 0.58, 0.77, -0.33, 1.65, 2.44, 0.37, -53.86, -26.71, -6.30
13591, 0.57, 0.78, -0.31, 0.30, 3.35, 0.18, -52.36, -27.76, -7.65
13600, 0.57, 0.78, -0.32, -2.20, 3.41, 0.37, -52.36, -27.76, -6.30
13609, 0.58, 0.77, -0.32, -1.04, 2.44, 0.06, -53.71, -27.16, -4.95
13618, 0.58, 0.78, -0.33, -0.37, 3.29, -0.67, -52.21, -26.86, -6.75
13627, 0.57, 0.77, -0.31, 0.49, 4.27, -1.04, -54.61, -27.76, -7.35
13635, 0.57, 0.78, -0.30, 2.01, 4.57, -1.34, -53.11, -28.21, -6.90
13644, 0.58, 0.78, -0.30, -1.89, 3.96, -0.61, -54.91, -27.01, -7.35
13653, 0.56, 0.77, -0.30, -7.80, 2.68, 0.00, -54.91, -27.01, -7.35
13661, 0.56, 0.77, -0.32, -4.82, 0.37, 0.67, -52.06, -25.21, -6.90
13709, 0.57, 0.77, -0.32, -4.21, -0.49, 0.98, -53.11, -27.76, -5.85
13718, 0.57, 0.77, -0.31, -4.15, -0.24, 1.16, -54.16, -28.21, -6.30
13728, 0.58, 0.77, -0.31, -2.44, 0.37, 0.67, -54.01, -26.86, -6.00
13737, 0.58, 0.78, -0.33, -2.44, 2.32, -0.55, -53.11, -27.46, -5.85
13746, 0.58, 0.77, -0.34, 1.34, 2.99, -1.16, -53.11, -27.01, -6.90
13755, 0.57, 0.77, -0.35, 7.26, 3.05, -1.46, -52.81, -26.26, -6.90
13764, 0.58, 0.76, -0.31, 10.49, 3.11, -1.89, -52.96, -26.56, -6.90
13773, 0.58, 0.79, -0.29, 8.90, 2.87, -1.22, -52.96, -26.56, -6.45
13782, 0.58, 0.77, -0.32, 2.93, 1.65, -0.12, -54.16, -27.01, -5.55
13791, 0.58, 0.77, -0.32, 3.90, 1.52, 0.37, -53.11, -27.01, -6.60
13800, 0.57, 0.77, -0.31, 3.90, 0.91, 0.49, -53.71, -26.11, -7.20
13809, 0.57, 0.76, -0.32, -0.55, 0.61, 0.67, -52.81, -26.71, -5.55
13818, 0.57, 0.77, -0.33, -3.96, 1.40, 0.06, -53.41, -26.71, -6.30
13827, 0.57, 0.77, -0.33, -1.52, 1.65, -0.18, -53.71, -28.66, -7.50
13836, 0.58, 0.78, -0.33, 0.79, 1.34, -0.61, -53.11, -26.26, -6.30
13871, 0.58, 0.77, -0.31, 2.93, 1.46, -1.10, -52.06, -26.26, -6.60
13880, 0.58, 0.79, -0.34, 1.40, 1.46, -0.73, -52.36, -27.76, -7.35
13889, 0.58, 0.77, -0.34, -0.98, 1.52, -0.12, -54.61, -27.01, -6.60
13898, 0.57, 0.78, -0.33, 1.77, 2.26, -0.55, -54.01, -26.56, -7.20
13907, 0.58, 0.77, -0.34, 1.10, 2.87, -0.61, -52.51, -27.16, -6.45
13916, 0.58, 0.76, -0.33, 1.77, 3.11, -0.30, -52.36, -25.51, -7.65
13925, 0.58, 0.78, -0.33, 3.35, 3.05, 0.00, -51.31, -27.76, -6.30
13934, 0.57, 0.77, -0.32, 4.57, 4.02, 0.06, -53.71, -25.36, -7.50
13943, 0.57, 0.77, -0.33, 6.28, 3.90, -0.61, -53.71, -25.36, -7.50
13952, 0.57, 0.77, -0.31, 6.71, 2.74, -0.37, -53.86, -26.26, -6.30
13961, 0.58, 0.78, -0.31, -0.06, 1.83, 0.00, -52.81, -27.46, -6.90
13970, 0.58, 0.77, -0.34, -1.65, 1.95, -0.67, -52.36, -26.26, -6.90
13979, 0.57, 0.77, -0.32, 0.00, 1.16, -0.24, -52.51, -26.56, -8.55
13988, 0.58, 0.78, -0.33, -1.65, -0.67, 0.55, -52.36, -26.26, -5.85
13997, 0.59, 0.79, -0.32, -2.56, -1.28, 0.67, -53.86, -26.26, -6.60
14032, 0.58, 0.79, -0.33, -5.30, 1.65, -0.18, -52.06, -27.01, -4.80
14041, 0.58, 0.77, -0.31, -4.63, 2.93, -0.12, -52.21, -27.16, -6.45
14050, 0.57, 0.76, -0.31, 1.46, 1.77, -0.73, -52.96, -27.91, -7.20
14059, 0.59, 0.79, -0.33, 5.67, 1.10, -0.43, -52.51, -27.91, -7.50
14068, 0.58, 0.79, -0.33, 5.37, 3.05, -0.37, -51.46, -28.36, -7.80
14077, 0.59, 0.78, -0.33, 5.37, 2.68, -0.37, -52.81, -26.71, -6.30
14086, 0.57, 0.77, -0.34, 5.55, 1.65, -0.18, -51.46, -27.91, -7.80
14095, 0.57, 0.76, -0.34, 5.91, 0.67, -0.24, -52.21, -27.61, -7.20
14104, 0.59, 0.79, -0.32, 3.41, 0.24, -0.12, -51.91, -28.66, -8.55
14114, 0.58, 0.78, -0.33, -0.85, 0.91, -0.12, -52.51, -28.66, -8.55
14123, 0.57, 0.77, -0.32, -2.20, 1.40, 0.06, -52.51, -27.16, -7.80
14132, 0.57, 0.75, -0.33, -1.10, 1.04, 0.49, -52.81, -26.26, -7.95
14141, 0.56, 0.76, -0.31, 0.06, 1.34, 0.73, -52.06, -27.76, -7.95
14150, 0.57, 0.77, -0.32, -0.30, 2.26, 0.12, -51.91, -27.61, -7.80
14159, 0.56, 0.77, -0.33, 1.65, 1.16, 0.18, -52.81, -26.26, -8.70
14194, 0.58, 0.76, -0.33, 2.80, -0.18, 0.12, -50.71, -26.86, -8.55
14203, 0.57, 0.76, -0.33, 6.46, 0.00, -0.18, -50.71, -26.86, -8.55
14212, 0.57, 0.76, -0.34, 9.94, 0.67, -0.98, -53.11, -26.71, -10.50
14221, 0.57, 0.76, -0.32, 12.62, 1.40, -0.43, -52.21, -27.91, -7.80
14230, 0.58, 0.77, -0.31, 12.50, 0.37, -0.85, -52.96, -26.11, -9.30
14239, 0.59, 0.79, -0.33, 12.01, -0.67, -1.83, -51.46, -26.86, -9.60
14248, 0.58, 0.77, -0.35, 12.01, -1.46, -0.55, -51.91, -27.61, -8.55
14257, 0.58, 0.77, -0.32, 10.12, -2.80, -0.37, -52.06, -27.46, -8.70
14266, 0.58, 0.76, -0.33, 8.41, -2.99, 0.06, -53.71, -26.56, -8.55
14275, 0.57, 0.76, -0.34, 3.84, -3.54, 0.24, -54.16, -25.51, -7.65
14284, 0.58, 0.75, -0.33, -3.48, -2.99, 0.67, -50.86, -27.01, -8.40
14294, 0.56, 0.74, -0.34, -2.56, -2.80, 0.67, -52.81, -27.01, -8.40
14303, 0.56, 0.74, -0.36, 4.82, -3.35, 0.43, -52.81, -27.01, -9.00
14312, 0.56, 0.74, -0.35, 11.52, -3.54, 0.06, -53.11, -25.21, -9.00
14378, 0.56, 0.74, -0.34, 16.04, -3.54, -0.37, -51.61, -25.21, -7.65
14387, 0.57, 0.75, -0.36, 17.44, -2.32, -1.28, -53.71, -26.11, -8.55
14396, 0.57, 0.76, -0.35, 20.24, -0.73, -1.40, -53.26, -27.61, -9.90
14405, 0.59, 0.82, -0.38, 24.33, -2.01, -4.33, -52.36, -27.01, -9.00
14414, 0.58, 0.78, -0.34, 27.01, -1.10, -3.90, -55.51, -26.56, -10.35
14424, 0.54, 0.82, -0.27, 25.73, -0.18, -3.84, -53.86, -26.71, -8.40
